Cluster_Representative,Protein,Cluster_Annotation,Information_Level
CAZ66201.1,YP_009219050.1,primase,High
CAO77763.1,CAO77763.1,ParB-like partition protein,High
CAO77763.1,YP_009215732.1,ParB-like partition protein,High
CAO77763.1,YP_001294557.1,ParB-like partition protein,High
CAO77780.1,CAO77780.1,transcriptional repressor,High
CAO77780.1,YP_001294575.1,transcriptional repressor,High
CAO77787.1,CAO77787.1,Pyrophosphatase,High
CAO77787.1,YP_001294582.1,Pyrophosphatase,High
CAO77804.1,CAO77804.1,tail protein,High
CAO77804.1,YP_001294517.1,tail protein,High
CAO77804.1,YP_009215778.1,tail protein,High
CAP45501.1,CAP45501.1,GNAT family N-acetyltransferase,High
CAP45501.1,CAK25964.1,GNAT family N-acetyltransferase,High
CAP45501.1,CAX63149.1,GNAT family N-acetyltransferase,High
CAP45501.1,AFR52571.1,GNAT family N-acetyltransferase,High
CAP45501.1,ABW23110.1,GNAT family N-acetyltransferase,High
CAP45501.1,ABY70998.1,GNAT family N-acetyltransferase,High
CAX63116.1,CAX63116.1,acetyltransferase,High
CAX63116.1,CEF89269.1,acetyltransferase,High
CAX63116.1,AIK67570.1,acetyltransferase,High
CAX63116.1,ABY70973.1,acetyltransferase,High
CAX63116.1,AFR52547.1,acetyltransferase,High
CAX63116.1,CAD44197.1,acetyltransferase,High
CAZ66201.1,CAZ66201.1,RNA polymerase sigma factor,High
CAZ66201.1,YP_009219050.1,RNA polymerase sigma factor,High
CAZ66281.1,CAZ66281.1,phosphofructokinase,High
CAZ66281.1,AIZ94959.1,phosphofructokinase,High
CAZ66281.1,AKC04823.1,phosphofructokinase,High
CAZ66281.1,AIZ94776.1,phosphofructokinase,High
CAZ66281.1,AFO70524.1,phosphofructokinase,High
CAZ66281.1,AIX13183.1,phosphofructokinase,High
CAZ66281.1,CDN96836.1,phosphofructokinase,High
CAZ66281.1,YP_009206269.1,phosphofructokinase,High
CAZ66305.1,CAZ66305.1,Lysozyme,High
CAZ66305.1,AIZ94801.1,Lysozyme,High
CAZ66305.1,AIZ94893.1,Lysozyme,High
CAZ66305.1,AFO70548.1,Lysozyme,High
CAZ66305.1,AIX13207.1,Lysozyme,High
CAZ66307.1,CAZ66307.1,endolysin,High
CAZ66307.1,AXL96695.1,endolysin,High
CAZ66307.1,AXL96680.1,endolysin,High
CAZ66307.1,AIX13208.1,endolysin,High
CAZ66307.1,CDN96860.1,endolysin,High
CCD58453.1,CCD58453.1,endonuclease VII,High
CCD58453.1,AII21860.1,endonuclease VII,High
CCD58453.1,IMGVR_UViG_2507262024_000002|2507262024|2507276176_16,endonuclease VII,High
CCD58453.1,ACA57734.1,endonuclease VII,High
CCD58453.1,AFQ21901.1,endonuclease VII,High
CCD58466.1,CCD58466.1,Phage tail protein,High
CCD58466.1,AFQ22024.1,Phage tail protein,High
CCD58466.1,YP_001469180.1,Phage tail protein,High
CCD58466.1,AIM40340.1,Phage tail protein,High
CCD58466.1,NP_938262.1,Phage tail protein,High
CCD58466.1,IMGVR_UViG_2571042519_000002|2571042519|2571125005_2,Phage tail protein,High
CCD58466.1,IMGVR_UViG_2571042625_000005|2571042625|2571133566_2,Phage tail protein,High
CCD58466.1,ACA57694.1,Phage tail protein,High
CCD58466.1,AEY99461.1,Phage tail protein,High
CCD58466.1,ADU15548.1,Phage tail protein,High
CCD58466.1,CEF89986.1,Phage tail protein,High
CCD58466.1,IMGVR_UViG_2675903353_000002|2675903353|2675963208_55,Phage tail protein,High
CCD58466.1,AFR52204.1,Phage tail protein,High
CCD58466.1,AEY99416.1,Phage tail protein,High
CCD58466.1,YP_009273681.1,Phage tail protein,High
CCM43547.1,CCM43547.1,head scaffolding protein,High
CCM43547.1,ADF58271.1,head scaffolding protein,High
CCM43547.1,YP_009199942.1,head scaffolding protein,High
CCM43547.1,AEK21543.1,head scaffolding protein,High
CCM43547.1,AGR89248.1,head scaffolding protein,High
CCM43549.1,CCM43549.1,Erf-like ssDNA annealing protein,High
CCM43549.1,AGR89250.1,Erf-like ssDNA annealing protein,High
CCM43579.1,CCM43579.1,tail fiber protein,High
CCM43579.1,AEK21576.1,tail fiber protein,High
CCM43579.1,AGR89283.1,tail fiber protein,High
CCM43579.1,AGR89458.1,tail fiber protein,High
CCM43579.1,ADD64994.1,tail fiber protein,High
CCM43579.1,ADF58239.1,tail fiber protein,High
CCM43582.1,CCM43582.1,head closure,High
CCM43582.1,AGR89287.1,head closure,High
CCM43582.1,ADF58236.1,head closure,High
CCM43623.1,CCM43623.1,tail length tape measure protein,High
CCM43623.1,CEF89399.1,tail length tape measure protein,High
CCM43623.1,AGS81750.1,tail length tape measure protein,High
CCM43623.1,ADF58195.1,tail length tape measure protein,High
CCM43623.1,YP_009186973.1,tail length tape measure protein,High
CCM43623.1,YP_009224776.1,tail length tape measure protein,High
CCM43623.1,AGR89155.1,tail length tape measure protein,High
CCM43645.1,CCM43645.1,single strand DNA binding protein,High
CCM43645.1,YP_009224801.1,single strand DNA binding protein,High
CCM43645.1,CEF89422.1,single strand DNA binding protein,High
CCM43645.1,ADD65060.1,single strand DNA binding protein,High
CCM43645.1,ADF58174.1,single strand DNA binding protein,High
CCM43669.1,CCM43669.1,virion structural protein,High
CCM43669.1,CEF89066.1,virion structural protein,High
CCM43669.1,AGR89206.1,virion structural protein,High
CCM43669.1,CEF89450.1,virion structural protein,High
CCM43683.1,CCM43683.1,ParB C-terminal domain,High
CCM43683.1,YP_009200092.1,ParB C-terminal domain,High
CCM43683.1,AGS81779.1,ParB C-terminal domain,High
CCM43683.1,AIE90115.1,ParB C-terminal domain,High
CCM43683.1,ADF58291.1,ParB C-terminal domain,High
CCM43683.1,AGR89224.1,ParB C-terminal domain,High
CCM43683.1,AGR89398.1,ParB C-terminal domain,High
CCM43683.1,CEF89467.1,ParB C-terminal domain,High
CDI06820.1,CDI06820.1,RHS repeat protein,High
CDI06820.1,AJD82759.1,RHS repeat protein,High
CDI06820.1,AHB30161.1,RHS repeat protein,High
CDI06820.1,AFD10686.1,RHS repeat protein,High
CEF89029.1,CEF89029.1,Lar-like restriction alleviation protein,High
CEF89029.1,CEF89415.1,Lar-like restriction alleviation protein,High
CEF89029.1,AGR89348.1,Lar-like restriction alleviation protein,High
CEF89029.1,AGS81758.1,Lar-like restriction alleviation protein,High
CEF89029.1,ADF58180.1,Lar-like restriction alleviation protein,High
CEF89166.1,CEF89166.1,Head decoration protein,High
CEF89166.1,YP_009206019.1,Head decoration protein,High
CEF89166.1,ADX32000.1,Head decoration protein,High
CEF89166.1,CEF89550.1,Head decoration protein,High
CEF89284.1,CEF89284.1,exonuclease,High
CEF89284.1,AFX93686.1,exonuclease,High
CEF89284.1,CAX63138.1,exonuclease,High
CEF89284.1,AFR52560.1,exonuclease,High
CEF89284.1,CAP45490.1,exonuclease,High
CEF89371.1,CEF89371.1,head decoration,High
CEF89371.1,CCM43597.1,head decoration,High
CEF89371.1,ADF58223.1,head decoration,High
CEF89371.1,AEK21592.1,head decoration,High
CEF89371.1,YP_009224750.1,head decoration,High
CEF89398.1,CEF89398.1,RIIB lysis inhibitor,High
CEF89398.1,YP_009186972.1,RIIB lysis inhibitor,High
CEF89416.1,CEF89416.1,thymidylate synthase,High
CEF89416.1,AGS81759.1,thymidylate synthase,High
CEF89416.1,ADF58179.1,thymidylate synthase,High
CEF89416.1,CCM43639.1,thymidylate synthase,High
CEF89460.1,CEF89460.1,portal protein,High
CEF89460.1,AEK21669.1,portal protein,High
CEF89460.1,YP_009187033.1,portal protein,High
CEF89460.1,ADF58140.1,portal protein,High
CEF89468.1,CEF89468.1,tail fiber protein,High
CEF89468.1,YP_009224844.1,tail fiber protein,High
CEF89468.1,AGS81780.1,tail fiber protein,High
CEF89468.1,AGR89225.1,tail fiber protein,High
CEF89468.1,AGR89399.1,tail fiber protein,High
CEF89468.1,YP_009187042.1,tail fiber protein,High
CEF89468.1,AEC53253.1,tail fiber protein,High
CEF89468.1,AEK21676.1,tail fiber protein,High
CEF89468.1,CCM43684.1,tail fiber protein,High
CEF89649.1,CEF89649.1,ribonucleotide reductase large subunit,High
CEF89673.1,CEF89673.1,ATP-binding protein,High
CEF89673.1,YP_009196324.1,ATP-binding protein,High
CEF89674.1,CEF89674.1,FmdB-like transcriptional regulator,High
CEF89674.1,YP_009196325.1,FmdB-like transcriptional regulator,High
CEF89694.1,CEF89694.1,endonuclease VII,High
CEQ38287.1,CEQ38287.1,CbrC family protein,High
CEQ38287.1,ADX32136.1,CbrC family protein,High
CEQ38287.1,CEF89501.1,CbrC family protein,High
CEQ38287.1,AGR89077.1,CbrC family protein,High
CEQ38296.1,CEQ38296.1,dual specificity phosphatase,High
CEQ38296.1,BAG75024.1,dual specificity phosphatase,High
CEQ38296.1,AFQ22086.1,dual specificity phosphatase,High
CEQ38298.1,CEQ38298.1,head maturation protease,High
CEQ38298.1,AGS81849.1,head maturation protease,High
CEQ38298.1,AGR89083.1,head maturation protease,High
CEQ38298.1,AGS81730.1,head maturation protease,High
CEQ38298.1,CEQ38330.1,head maturation protease,High
CEQ38298.1,AGR89599.1,head maturation protease,High
CEQ38298.1,BAJ09087.1,head maturation protease,High
CEQ38298.1,YP_009205981.1,head maturation protease,High
CEQ38328.1,CEQ38328.1,DNA helicase,High
CEQ38328.1,ADX32143.1,DNA helicase,High
CEQ38328.1,AGR89081.1,DNA helicase,High
NP_938232.1,NP_938232.1,tail length tape measure protein,High
NP_938232.1,AFE86456.1,tail length tape measure protein,High
NP_938232.1,ACA57723.1,tail length tape measure protein,High
NP_938232.1,YP_007392337.1,tail length tape measure protein,High
NP_938238.1,NP_938238.1,single strand DNA binding protein,High
NP_938238.1,AHV82288.1,single strand DNA binding protein,High
NP_938238.1,ADU15524.1,single strand DNA binding protein,High
Station124_SUR_ALL_assembly_NODE_37_length_105919_cov_44120834_105,Station124_SUR_ALL_assembly_NODE_37_length_105919_cov_44120834_105,ParB-like partition protein,High
Station124_SUR_ALL_assembly_NODE_37_length_105919_cov_44120834_9,Station124_SUR_ALL_assembly_NODE_37_length_105919_cov_44120834_9,Terminase,High
Station124_SUR_ALL_assembly_NODE_37_length_105919_cov_44120834_99,Station124_SUR_ALL_assembly_NODE_37_length_105919_cov_44120834_99,ribosomal protein S6 glutaminyl transferase,High
Station158_MES_ALL_assembly_NODE_8782_length_10785_cov_21171948_3,Station158_MES_ALL_assembly_NODE_8782_length_10785_cov_21171948_3,DNA helicase,High
Station168_IZZ_ALL_assembly_NODE_3672_length_26152_cov_7108250_15,Station168_IZZ_ALL_assembly_NODE_3672_length_26152_cov_7108250_15,ribonucleoside-diphosphate reductase large subunit,High
Station168_IZZ_ALL_assembly_NODE_8815_length_13488_cov_12458870_3,Station168_IZZ_ALL_assembly_NODE_8815_length_13488_cov_12458870_3,Phage tail protein,High
Station173_DCM_ALL_assembly_NODE_7308_length_14987_cov_66828020_14,Station173_DCM_ALL_assembly_NODE_7308_length_14987_cov_66828020_14,cold shock protein,High
Station188_DCM_ALL_assembly_NODE_5117_length_14999_cov_16610278_1,Station188_DCM_ALL_assembly_NODE_5117_length_14999_cov_16610278_1,DHH phosphoesterase,High
Station189_MES_ALL_assembly_NODE_2810_length_24812_cov_142738741_20,Station189_MES_ALL_assembly_NODE_2810_length_24812_cov_142738741_20,transcriptional regulator,High
Station189_MES_ALL_assembly_NODE_4836_length_17546_cov_50620205_3,Station189_MES_ALL_assembly_NODE_4836_length_17546_cov_50620205_3,endolysin,High
Station193_SUR_ALL_assembly_NODE_4133_length_12932_cov_136852916_4,Station193_SUR_ALL_assembly_NODE_4133_length_12932_cov_136852916_4,head scaffolding protein,High
Station194_SUR_ALL_assembly_NODE_4988_length_10764_cov_13455785_2,Station194_SUR_ALL_assembly_NODE_4988_length_10764_cov_13455785_2,TMhelix containing protein,High
Station194_SUR_ALL_assembly_NODE_692_length_39460_cov_460485903_40,Station194_SUR_ALL_assembly_NODE_692_length_39460_cov_460485903_40,tail fiber protein,High
Station196_SUR_ALL_assembly_NODE_1147_length_31902_cov_58251923_12,Station196_SUR_ALL_assembly_NODE_1147_length_31902_cov_58251923_12,HNH endonuclease,High
Station201_DCM_ALL_assembly_NODE_1656_length_28270_cov_44278221_16,Station201_DCM_ALL_assembly_NODE_1656_length_28270_cov_44278221_16,DNA polymerase,High
Station201_SUR_ALL_assembly_NODE_6754_length_10937_cov_49332476_10,Station201_SUR_ALL_assembly_NODE_6754_length_10937_cov_49332476_10,minor head protein,High
Station205_SUR_ALL_assembly_NODE_3021_length_14828_cov_31778041_11,Station205_SUR_ALL_assembly_NODE_3021_length_14828_cov_31778041_11,HNH endonuclease,High
Station208_SUR_ALL_assembly_NODE_2668_length_16987_cov_4799610_21,Station208_SUR_ALL_assembly_NODE_2668_length_16987_cov_4799610_21,internal virion protein,High
Station209_MES_ALL_assembly_NODE_3431_length_24797_cov_21307130_27,Station209_MES_ALL_assembly_NODE_3431_length_24797_cov_21307130_27,endolysin,High
Station209_MES_ALL_assembly_NODE_9734_length_11027_cov_2612377_7,Station209_MES_ALL_assembly_NODE_9734_length_11027_cov_2612377_7,DNA primase,High
Station209_SUR_ALL_assembly_NODE_8688_length_11405_cov_12310132_16,Station209_SUR_ALL_assembly_NODE_8688_length_11405_cov_12310132_16,GLPGLI family protein,High
Station41_SUR_ALL_assembly_NODE_88_length_49579_cov_21067018_20,Station41_SUR_ALL_assembly_NODE_88_length_49579_cov_21067018_20,single strand annealing protein,High
Station41_SUR_ALL_assembly_NODE_88_length_49579_cov_21067018_23,Station41_SUR_ALL_assembly_NODE_88_length_49579_cov_21067018_23,terminase small subunit,High
Station41_SUR_ALL_assembly_NODE_88_length_49579_cov_21067018_25,Station41_SUR_ALL_assembly_NODE_88_length_49579_cov_21067018_25,HNH endonuclease,High
Station41_SUR_ALL_assembly_NODE_88_length_49579_cov_21067018_29,Station41_SUR_ALL_assembly_NODE_88_length_49579_cov_21067018_29,ATP-dependent DNA ligase,High
Station41_SUR_ALL_assembly_NODE_88_length_49579_cov_21067018_31,Station41_SUR_ALL_assembly_NODE_88_length_49579_cov_21067018_31,homing endonuclease,High
Station41_SUR_ALL_assembly_NODE_88_length_49579_cov_21067018_45,Station41_SUR_ALL_assembly_NODE_88_length_49579_cov_21067018_45,DNA polymerase exonuclease subunit,High
Station42_SUR_ALL_assembly_NODE_399_length_31866_cov_13797271_11,Station42_SUR_ALL_assembly_NODE_399_length_31866_cov_13797271_11,tail fiber protein,High
Station56_SUR_ALL_assembly_NODE_2123_length_11757_cov_11895402_7,Station56_SUR_ALL_assembly_NODE_2123_length_11757_cov_11895402_7,Radical SAM protein,High
Station65_DCM_ALL_assembly_NODE_687_length_28997_cov_3732223_3,Station65_DCM_ALL_assembly_NODE_687_length_28997_cov_3732223_3,tail fiber protein,High
Station67_SUR_ALL_assembly_NODE_1947_length_14681_cov_36088062_12,Station67_SUR_ALL_assembly_NODE_1947_length_14681_cov_36088062_12,Histone,High
Station78_DCM_ALL_assembly_NODE_1171_length_19932_cov_6375862_39,Station78_DCM_ALL_assembly_NODE_1171_length_19932_cov_6375862_39,Phage recombination protein Bet,High
Station78_MES_DO_NOT_POOL_NODE_4927_length_11426_cov_10471638_15,Station78_MES_DO_NOT_POOL_NODE_4927_length_11426_cov_10471638_15,minor head protein,High
Station85_SUR_COMBINED_FINAL_NODE_2658_length_14143_cov_113885221_17,Station85_SUR_COMBINED_FINAL_NODE_2658_length_14143_cov_113885221_17,major head protein,High
TemPhD_cluster_10199_7,TemPhD_cluster_10199_7,endolysin,High
TemPhD_cluster_10199_7,IMGVR_UViG_2568526011_000002|2568526011|2568526740_40,endolysin,High
TemPhD_cluster_10199_7,NP_490638.1,endolysin,High
TemPhD_cluster_10199_7,TemPhD_cluster_10609_40,endolysin,High
TemPhD_cluster_10902_40,TemPhD_cluster_10902_40,Transmembrane protein,High
TemPhD_cluster_10902_40,YP_009187492.1,Transmembrane protein,High
TemPhD_cluster_10902_40,YP_009275496.1,Transmembrane protein,High
TemPhD_cluster_11622_30,TemPhD_cluster_11622_30,DNA methyltransferase,High
TemPhD_cluster_11622_30,TemPhD_cluster_13851_31,DNA methyltransferase,High
TemPhD_cluster_11622_30,TemPhD_cluster_12950_50,DNA methyltransferase,High
TemPhD_cluster_11622_30,IMGVR_UViG_2571042676_000002|2571042676|2571136776_22,DNA methyltransferase,High
TemPhD_cluster_11622_42,TemPhD_cluster_11622_42,Head-tail adaptor protein,High
TemPhD_cluster_11622_42,IMGVR_UViG_2579778953_000002|2579778953|2579834327_21,Head-tail adaptor protein,High
TemPhD_cluster_11622_42,TemPhD_cluster_13851_44,Head-tail adaptor protein,High
TemPhD_cluster_11622_42,IMGVR_UViG_2675903584_000002|2675903584|2675992007_20,Head-tail adaptor protein,High
TemPhD_cluster_11622_42,TemPhD_cluster_14034_22,Head-tail adaptor protein,High
TemPhD_cluster_11622_44,TemPhD_cluster_11622_44,Phage tail protein,High
TemPhD_cluster_11622_44,YP_009275672.1,Phage tail protein,High
TemPhD_cluster_11622_44,TemPhD_cluster_13851_46,Phage tail protein,High
TemPhD_cluster_11622_44,IMGVR_UViG_2675903584_000002|2675903584|2675992007_18,Phage tail protein,High
TemPhD_cluster_11622_44,IMGVR_UViG_2579778953_000002|2579778953|2579834327_19,Phage tail protein,High
TemPhD_cluster_11622_62,TemPhD_cluster_11622_62,tail fiber protein,High
TemPhD_cluster_11622_62,IMGVR_UViG_2579778953_000002|2579778953|2579834327_1,tail fiber protein,High
TemPhD_cluster_11622_62,TemPhD_cluster_13851_63,tail fiber protein,High
TemPhD_cluster_11622_62,YP_009275686.1,tail fiber protein,High
TemPhD_cluster_11901_34,TemPhD_cluster_11901_34,integrase,High
TemPhD_cluster_11901_34,IMGVR_UViG_2524614738_000003|2524614738|2524688769_35,integrase,High
TemPhD_cluster_11901_34,IMGVR_UViG_2571042676_000002|2571042676|2571136776_41,integrase,High
TemPhD_cluster_11901_34,IMGVR_UViG_2671180382_000002|2671180382|2671219381_38,integrase,High
TemPhD_cluster_11901_34,IMGVR_UViG_2617271009_000002|2617271009|2617327129_32,integrase,High
TemPhD_cluster_11901_34,IMGVR_UViG_2675903584_000002|2675903584|2675992007_35,integrase,High
TemPhD_cluster_11901_34,IMGVR_UViG_2576861223_000001|2576861223|2576877802_34,integrase,High
TemPhD_cluster_11901_34,YP_001293401.1,integrase,High
TemPhD_cluster_11901_34,TemPhD_cluster_12950_32,integrase,High
TemPhD_cluster_12581_3,TemPhD_cluster_12581_3,terminase small subunit,High
TemPhD_cluster_12581_3,IMGVR_UViG_2734482398_000001|2734482398|2734634484|131174-147244_5,terminase small subunit,High
TemPhD_cluster_12581_3,TemPhD_cluster_10609_47,terminase small subunit,High
TemPhD_cluster_12581_3,IMGVR_UViG_2579778897_000002|2579778897|2579829643|27939-39430_16,terminase small subunit,High
TemPhD_cluster_12950_4,TemPhD_cluster_12950_4,DNA polymerase exonuclease subunit,High
TemPhD_cluster_12950_4,TemPhD_cluster_11901_60,DNA polymerase exonuclease subunit,High
TemPhD_cluster_12950_4,IMGVR_UViG_2579778822_000002|2579778822|2579820951_51,DNA polymerase exonuclease subunit,High
TemPhD_cluster_12950_4,IMGVR_UViG_2551306212_000004|2551306212|2551364953_62,DNA polymerase exonuclease subunit,High
TemPhD_cluster_13835_29,TemPhD_cluster_13835_29,tail length tape measure protein,High
TemPhD_cluster_13835_29,IMGVR_UViG_2619619278_000004|2619619278|2619687484_53,tail length tape measure protein,High
TemPhD_cluster_13835_2,TemPhD_cluster_13835_2,Lipoprotein,High
TemPhD_cluster_13835_2,IMGVR_UViG_2507262021_000002|2507262021|2507273743_101,Lipoprotein,High
TemPhD_cluster_13835_2,AAF80793.1,Lipoprotein,High
TemPhD_cluster_13835_2,AEX55904.1,Lipoprotein,High
TemPhD_cluster_13835_2,BAG75013.1,Lipoprotein,High
TemPhD_cluster_13835_2,AEX55868.1,Lipoprotein,High
TemPhD_cluster_13835_2,IMGVR_UViG_2579778822_000001|2579778822|2579820949_73,Lipoprotein,High
TemPhD_cluster_13835_2,IMGVR_UViG_2579778972_000003|2579778972|2579836614_65,Lipoprotein,High
TemPhD_cluster_13835_2,YP_009275531.1,Lipoprotein,High
TemPhD_cluster_13835_2,AFQ22093.1,Lipoprotein,High
TemPhD_cluster_13835_2,ivig_2819_62,Lipoprotein,High
TemPhD_cluster_13835_2,YP_009187434.1,Lipoprotein,High
TemPhD_cluster_13835_50,TemPhD_cluster_13835_50,terminase large subunit,High
TemPhD_cluster_13835_50,AEX55819.1,terminase large subunit,High
TemPhD_cluster_13835_50,AAF80814.1,terminase large subunit,High
TemPhD_cluster_13835_50,AFQ22071.1,terminase large subunit,High
TemPhD_cluster_13835_54,TemPhD_cluster_13835_54,Lar-like restriction alleviation protein,High
TemPhD_cluster_13835_54,YP_009273751.1,Lar-like restriction alleviation protein,High
TemPhD_cluster_13835_54,AFQ22075.1,Lar-like restriction alleviation protein,High
TemPhD_cluster_13835_59,TemPhD_cluster_13835_59,homing endonuclease,High
TemPhD_cluster_13835_59,IMGVR_UViG_2619619278_000004|2619619278|2619687484_17,homing endonuclease,High
TemPhD_cluster_14034_12,TemPhD_cluster_14034_12,Phage tail protein,High
TemPhD_cluster_14034_12,IMGVR_UViG_2524614738_000003|2524614738|2524688769_59,Phage tail protein,High
TemPhD_cluster_14034_12,IMGVR_UViG_2507262019_000003|2507262019|2507271997_59,Phage tail protein,High
TemPhD_cluster_14034_12,TemPhD_cluster_12950_56,Phage tail protein,High
TemPhD_cluster_14204_2,TemPhD_cluster_14204_2,Phage tail protein,High
TemPhD_cluster_14204_2,AHV82311.1,Phage tail protein,High
TemPhD_cluster_14204_2,AII21847.1,Phage tail protein,High
TemPhD_cluster_14204_2,ACA57745.1,Phage tail protein,High
TemPhD_cluster_14204_2,YP_007392362.1,Phage tail protein,High
YP_001218822.1,YP_001218822.1,tail fiber protein,High
YP_001218822.1,YP_024748.1,tail fiber protein,High
YP_001218834.1,YP_001218834.1,single strand DNA binding protein,High
YP_001218834.1,YP_024762.1,single strand DNA binding protein,High
YP_001218834.1,YP_024763.1,single strand DNA binding protein,High
YP_001293363.1,YP_001293363.1,Capsid protein,High
YP_001293363.1,IMGVR_UViG_2671180382_000002|2671180382|2671219381_63,Capsid protein,High
YP_001293363.1,TemPhD_cluster_13851_55,Capsid protein,High
YP_001293363.1,YP_009275680.1,Capsid protein,High
YP_001293363.1,IMGVR_UViG_2579778558_000002|2579778558|2579784817_9,Capsid protein,High
YP_001293363.1,IMGVR_UViG_2571042676_000002|2571042676|2571136776_15,Capsid protein,High
YP_001293363.1,TemPhD_cluster_11622_53,Capsid protein,High
YP_001293364.1,YP_001293364.1,Minor tail protein,High
YP_001293364.1,IMGVR_UViG_2671180382_000002|2671180382|2671219381_64,Minor tail protein,High
YP_001293364.1,IMGVR_UViG_2675903584_000002|2675903584|2675992007_8,Minor tail protein,High
YP_001293364.1,IMGVR_UViG_2551306212_000004|2551306212|2551364953_9,Minor tail protein,High
YP_001293364.1,TemPhD_cluster_13851_56,Minor tail protein,High
YP_001293364.1,YP_009275681.1,Minor tail protein,High
YP_001293364.1,IMGVR_UViG_2579778558_000002|2579778558|2579784817_8,Minor tail protein,High
YP_001293364.1,IMGVR_UViG_2571042676_000002|2571042676|2571136776_14,Minor tail protein,High
YP_001293364.1,TemPhD_cluster_11622_54,Minor tail protein,High
YP_001293364.1,IMGVR_UViG_2524614738_000003|2524614738|2524688769_61,Minor tail protein,High
YP_001293375.1,YP_001293375.1,transglycosylase,High
YP_001293375.1,TemPhD_cluster_11901_58,transglycosylase,High
YP_001293375.1,IMGVR_UViG_2507262019_000003|2507262019|2507271997_7,transglycosylase,High
YP_001293375.1,IMGVR_UViG_2675903584_000002|2675903584|2675992007_62,transglycosylase,High
YP_001293375.1,IMGVR_UViG_2524614738_000003|2524614738|2524688769_11,transglycosylase,High
YP_001293375.1,IMGVR_UViG_2579778558_000002|2579778558|2579784817_59,transglycosylase,High
YP_001293375.1,IMGVR_UViG_2671180382_000002|2671180382|2671219381_12,transglycosylase,High
YP_001293392.1,YP_001293392.1,DNA polymerase/primase,High
YP_001293392.1,IMGVR_UViG_2617271009_000002|2617271009|2617327129_26,DNA polymerase/primase,High
YP_001293392.1,IMGVR_UViG_2576861223_000001|2576861223|2576877802_41,DNA polymerase/primase,High
YP_001293399.1,YP_001293399.1,major head protein,High
YP_001293399.1,TemPhD_cluster_12950_30,major head protein,High
YP_001293399.1,IMGVR_UViG_2507262019_000003|2507262019|2507271997_33,major head protein,High
YP_001294509.1,YP_001294509.1,single strand DNA binding protein,High
YP_001294509.1,CAO77798.1,single strand DNA binding protein,High
YP_001294564.1,YP_001294564.1,DNA polymerase,High
YP_001294567.1,YP_001294567.1,5'-deoxynucleotidase,High
YP_001294567.1,AFN 39588,5'-deoxynucleotidase,High
YP_001294586.1,YP_001294586.1,cytidyltransferase,High
YP_001294586.1,YP_009215764.1,cytidyltransferase,High
YP_001294586.1,AFN 39607,cytidyltransferase,High
YP_001294586.1,CAO77791.1,cytidyltransferase,High
YP_001294608.1,YP_001294608.1,single strand DNA binding protein,High
YP_001294610.1,YP_001294610.1,major head and protease protein,High
YP_001294663.1,YP_001294663.1,kinase,High
YP_009007106.1,YP_009007106.1,exonuclease,High
YP_009007106.1,IMGVR_UViG_2609460049_000005|2609460049|2609519552_25,exonuclease,High
YP_009007106.1,IMGVR_UViG_2501799902_000001|2501799902|2501800149_4,exonuclease,High
YP_009007106.1,BAG75033.1,exonuclease,High
YP_009007106.1,IMGVR_UViG_2579778822_000002|2579778822|2579820951_71,exonuclease,High
YP_009007106.1,AAF80812.1,exonuclease,High
YP_009007106.1,YP_009187412.1,exonuclease,High
YP_009030554.1,YP_009030554.1,Terminase small subunit,High
YP_009030575.1,YP_009030575.1,tail fiber protein,High
YP_009030578.1,YP_009030578.1,ATPase,High
YP_009030620.1,YP_009030620.1,Phage tail protein,High
YP_009043231.1,YP_009043231.1,TetR family transcriptional regulator,High
YP_009043232.1,YP_009043232.1,DNA polymerase,High
YP_009043244.1,YP_009043244.1,endolysin,High
YP_009043244.1,NP_813755.1,endolysin,High
YP_009043557.1,YP_009043557.1,tail fiber protein,High
YP_009043578.1,YP_009043578.1,TolA protein,High
YP_009187050.1,YP_009187050.1,MutT/NUDIX hydrolase,High
YP_009187050.1,YP_009224852.1,MutT/NUDIX hydrolase,High
YP_009187405.1,YP_009187405.1,Phage tail assembly chaperone,High
YP_009187405.1,IMGVR_UViG_2548877050_000001|2548877050|2549043257_51,Phage tail assembly chaperone,High
YP_009187483.1,YP_009187483.1,phosphofructokinase,High
YP_009187483.1,AAF80767.1,phosphofructokinase,High
YP_009187483.1,AEX55962.1,phosphofructokinase,High
YP_009188516.1,YP_009188516.1,tail fiber protein,High
YP_009188516.1,IMGVR_UViG_2571042854_000003|2571042854|2571152703_40,tail fiber protein,High
YP_009188516.1,YP_009168731.1,tail fiber protein,High
YP_009188516.1,YP_009168283.1,tail fiber protein,High
YP_009188516.1,AAQ13923.1,tail fiber protein,High
YP_009188516.1,IMGVR_UViG_2675903353_000002|2675903353|2675963208_7,tail fiber protein,High
YP_009188516.1,IMGVR_UViG_2645727626_000003|2645727626|2645740250_51,tail fiber protein,High
YP_009188519.1,YP_009188519.1,HNH endonuclease,High
YP_009188519.1,IMGVR_UViG_2571042625_000005|2571042625|2571133566_46,HNH endonuclease,High
YP_009196316.1,YP_009196316.1,terminase large subunit,High
YP_009196316.1,CEF89665.1,terminase large subunit,High
YP_009199978.1,YP_009199978.1,portal protein,High
YP_009199978.1,AEK21577.1,portal protein,High
YP_009199978.1,AGR89284.1,portal protein,High
YP_009199978.1,YP_009186929.1,portal protein,High
