Phage_ID,Host,Lifestyle,Phage_source,Protein_source,Protein_ID,Product,Length
Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665,Pseudomonas aeruginosa,virulent,GVD,prodigal,Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665_6,unknown,73.0
Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665,Pseudomonas aeruginosa,virulent,GVD,prodigal,Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665_7,Protein of unknwon function (DUF3310),84.0
Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665,Pseudomonas aeruginosa,virulent,GVD,prodigal,Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665_10,unknown,80.0
Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665,Pseudomonas aeruginosa,virulent,GVD,prodigal,Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665_12,unknown,76.0
Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665,Pseudomonas aeruginosa,virulent,GVD,prodigal,Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665_13,unknown,120.0
Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665,Pseudomonas aeruginosa,virulent,GVD,prodigal,Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665_15,unknown,97.0
Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665,Pseudomonas aeruginosa,virulent,GVD,prodigal,Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665_17,unknown,231.0
Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665,Pseudomonas aeruginosa,virulent,GVD,prodigal,Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665_18,unknown,85.0
Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665,Pseudomonas aeruginosa,virulent,GVD,prodigal,Han_2018_ERR1398262_NODE_2873_length_6112_cov_4.210665_19,unknown,71.0
Kang_0019_ST001_A_NODE_1376_length_5277_cov_6.824780,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0019_ST001_A_NODE_1376_length_5277_cov_6.824780_4,unknown,46.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_1,unknown,44.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_2,unknown,77.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_3,unknown,166.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_4,unknown,283.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_6,unknown,88.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_7,unknown,49.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_8,unknown,94.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_9,unknown,114.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_10,unknown,99.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_12,unknown,350.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_13,unknown,87.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_15,unknown,48.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_17,unknown,195.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_20,unknown,85.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_21,unknown,65.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_22,unknown,77.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_24,Protein of unknwon function (DUF3310),238.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_25,unknown,85.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_26,unknown,145.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_27,unknown,232.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_32,unknown,433.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_35,unknown,207.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_37,unknown,76.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_38,unknown,146.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_39,unknown,146.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_40,unknown,166.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_43,unknown,160.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_48,unknown,33.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_49,unknown,58.0
Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879,Pseudomonas syringae,virulent,GVD,prodigal,Kang_0021_ST003_A_NODE_24_length_44717_cov_55.196879_51,unknown,173.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_3,unknown,86.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_7,unknown,142.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_11,unknown,85.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_12,unknown,115.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_14,unknown,121.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_16,unknown,107.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_18,unknown,80.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_22,unknown,88.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_33,unknown,203.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_34,unknown,200.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_35,unknown,187.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_36,unknown,62.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_38,unknown,70.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_39,unknown,256.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_40,unknown,87.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_41,unknown,148.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_43,unknown,59.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_44,unknown,220.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_45,unknown,88.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_46,unknown,96.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_47,unknown,320.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_48,unknown,88.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_54,Protein of unknown function (DUF669),120.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_56,unknown,85.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_58,Protein of unknwon function (DUF3310),78.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_65,unknown,154.0
Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_20_length_45309_cov_40.697286_68,Protein of unknown function (DUF2829),217.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_6,Protein of unknown function (DUF1351),442.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_7,unknown,88.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_9,unknown,117.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_10,unknown,134.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_11,unknown,87.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_12,unknown,62.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_13,unknown,59.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_16,unknown,85.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_18,unknown,71.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_20,unknown,66.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_21,unknown,84.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_36,Domain of unknown function (DUF5072),138.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_42,Domain of unknown function (DUF4355),213.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_43,Protein of unknwon function (DUF3310),128.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_45,unknown,58.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_47,unknown,165.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_51,unknown,71.0
Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0027_ST001_A_NODE_39_length_33981_cov_8.967635_53,unknown,63.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_3,unknown,375.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_5,unknown,135.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_8,unknown,120.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_9,unknown,122.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_10,unknown,83.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_11,unknown,31.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_12,unknown,33.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_13,unknown,118.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_16,unknown,194.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_18,unknown,48.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_19,Protein of unknwon function (DUF3310),207.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_22,unknown,103.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_24,unknown,56.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_25,unknown,53.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_26,unknown,49.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_27,unknown,85.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_28,unknown,68.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_29,unknown,78.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_30,unknown,34.0
Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365,Pseudomonas aeruginosa,virulent,GVD,prodigal,Kang_0045_ST002_N_NODE_264_length_21626_cov_26.692365_31,unknown,35.0
OTU_8559,Pseudomonas,temperate,IGVD,prodigal,OTU_8559_2,unknown,213.0
OTU_8559,Pseudomonas,temperate,IGVD,prodigal,OTU_8559_3,unknown,86.0
OTU_8559,Pseudomonas,temperate,IGVD,prodigal,OTU_8559_4,unknown,33.0
OTU_8559,Pseudomonas,temperate,IGVD,prodigal,OTU_8559_5,unknown,180.0
OTU_8559,Pseudomonas,temperate,IGVD,prodigal,OTU_8559_6,unknown,105.0
OTU_8559,Pseudomonas,temperate,IGVD,prodigal,OTU_8559_7,unknown,105.0
OTU_8559,Pseudomonas,temperate,IGVD,prodigal,OTU_8559_9,unknown,155.0
OTU_8559,Pseudomonas,temperate,IGVD,prodigal,OTU_8559_14,unknown,107.0
OTU_9416,Pseudomonas,temperate,IGVD,prodigal,OTU_9416_9,unknown,41.0
OTU_9416,Pseudomonas,temperate,IGVD,prodigal,OTU_9416_13,unknown,119.0
OTU_9416,Pseudomonas,temperate,IGVD,prodigal,OTU_9416_14,Protein of unknown function (DUF2634),147.0
IMGVR_UViG_2505313053_000001|2505313053|2505349123|1-7645,Pseudomonas E amygdali,temperate,IMG_VR,prodigal,IMGVR_UViG_2505313053_000001|2505313053|2505349123|1-7645_2,unknown,97.0
IMGVR_UViG_2505313053_000001|2505313053|2505349123|1-7645,Pseudomonas E amygdali,temperate,IMG_VR,prodigal,IMGVR_UViG_2505313053_000001|2505313053|2505349123|1-7645_4,unknown,43.0
IMGVR_UViG_2505313053_000001|2505313053|2505349123|1-7645,Pseudomonas E amygdali,temperate,IMG_VR,prodigal,IMGVR_UViG_2505313053_000001|2505313053|2505349123|1-7645_5,unknown,78.0
IMGVR_UViG_2505313053_000001|2505313053|2505349123|1-7645,Pseudomonas E amygdali,temperate,IMG_VR,prodigal,IMGVR_UViG_2505313053_000001|2505313053|2505349123|1-7645_7,unknown,86.0
IMGVR_UViG_2506210030_000001|2506210030|2506226343,Pseudomonas E crudilactis,temperate,IMG_VR,prodigal,IMGVR_UViG_2506210030_000001|2506210030|2506226343_6,unknown,362.0
IMGVR_UViG_2506210030_000001|2506210030|2506226343,Pseudomonas E crudilactis,temperate,IMG_VR,prodigal,IMGVR_UViG_2506210030_000001|2506210030|2506226343_8,unknown,76.0
IMGVR_UViG_2506210030_000001|2506210030|2506226343,Pseudomonas E crudilactis,temperate,IMG_VR,prodigal,IMGVR_UViG_2506210030_000001|2506210030|2506226343_10,unknown,87.0
IMGVR_UViG_2506210030_000001|2506210030|2506226343,Pseudomonas E crudilactis,temperate,IMG_VR,prodigal,IMGVR_UViG_2506210030_000001|2506210030|2506226343_14,unknown,72.0
IMGVR_UViG_2506210030_000001|2506210030|2506226343,Pseudomonas E crudilactis,temperate,IMG_VR,prodigal,IMGVR_UViG_2506210030_000001|2506210030|2506226343_15,unknown,88.0
IMGVR_UViG_2506210030_000001|2506210030|2506226343,Pseudomonas E crudilactis,temperate,IMG_VR,prodigal,IMGVR_UViG_2506210030_000001|2506210030|2506226343_16,unknown,114.0
IMGVR_UViG_2506210030_000001|2506210030|2506226343,Pseudomonas E crudilactis,temperate,IMG_VR,prodigal,IMGVR_UViG_2506210030_000001|2506210030|2506226343_17,unknown,132.0
IMGVR_UViG_2507262023_000001|2507262023|2507275142,Pseudomonas aeruginosa,virulent,IMG_VR,prodigal,IMGVR_UViG_2507262023_000001|2507262023|2507275142_1,unknown,186.0
IMGVR_UViG_2507262023_000001|2507262023|2507275142,Pseudomonas aeruginosa,virulent,IMG_VR,prodigal,IMGVR_UViG_2507262023_000001|2507262023|2507275142_2,unknown,61.0
IMGVR_UViG_2507262023_000001|2507262023|2507275142,Pseudomonas aeruginosa,virulent,IMG_VR,prodigal,IMGVR_UViG_2507262023_000001|2507262023|2507275142_5,unknown,70.0
IMGVR_UViG_2507262023_000001|2507262023|2507275142,Pseudomonas aeruginosa,virulent,IMG_VR,prodigal,IMGVR_UViG_2507262023_000001|2507262023|2507275142_7,unknown,89.0
IMGVR_UViG_2507262023_000001|2507262023|2507275142,Pseudomonas aeruginosa,virulent,IMG_VR,prodigal,IMGVR_UViG_2507262023_000001|2507262023|2507275142_12,Protein of unknown function (DUF2523),106.0
IMGVR_UViG_2540341042_000001|2540341042|2540346473,Pseudomonas aeruginosa,virulent,IMG_VR,prodigal,IMGVR_UViG_2540341042_000001|2540341042|2540346473_2,unknown,89.0
IMGVR_UViG_2540341042_000001|2540341042|2540346473,Pseudomonas aeruginosa,virulent,IMG_VR,prodigal,IMGVR_UViG_2540341042_000001|2540341042|2540346473_6,unknown,58.0
IMGVR_UViG_2540341042_000001|2540341042|2540346473,Pseudomonas aeruginosa,virulent,IMG_VR,prodigal,IMGVR_UViG_2540341042_000001|2540341042|2540346473_8,unknown,77.0
IMGVR_UViG_2548876714_000001|2548876714|2548938173,Pseudomonas E monteilii,virulent,IMG_VR,prodigal,IMGVR_UViG_2548876714_000001|2548876714|2548938173_3,unknown,108.0
IMGVR_UViG_2548876714_000001|2548876714|2548938173,Pseudomonas E monteilii,virulent,IMG_VR,prodigal,IMGVR_UViG_2548876714_000001|2548876714|2548938173_5,unknown,90.0
IMGVR_UViG_2548876714_000001|2548876714|2548938173,Pseudomonas E monteilii,virulent,IMG_VR,prodigal,IMGVR_UViG_2548876714_000001|2548876714|2548938173_6,unknown,43.0
IMGVR_UViG_2551306150_000001|2551306150|2551350320,Pseudomonas aeruginosa,virulent,IMG_VR,prodigal,IMGVR_UViG_2551306150_000001|2551306150|2551350320_2,unknown,89.0
IMGVR_UViG_2551306150_000001|2551306150|2551350320,Pseudomonas aeruginosa,virulent,IMG_VR,prodigal,IMGVR_UViG_2551306150_000001|2551306150|2551350320_6,unknown,58.0
IMGVR_UViG_2551306150_000001|2551306150|2551350320,Pseudomonas aeruginosa,virulent,IMG_VR,prodigal,IMGVR_UViG_2551306150_000001|2551306150|2551350320_8,unknown,77.0
IMGVR_UViG_2558860367_000001|2558860367|2558885814|1318-12637,Pseudomonas aeruginosa,temperate,IMG_VR,prodigal,IMGVR_UViG_2558860367_000001|2558860367|2558885814|1318-12637_2,unknown,58.0
IMGVR_UViG_2558860367_000001|2558860367|2558885814|1318-12637,Pseudomonas aeruginosa,temperate,IMG_VR,prodigal,IMGVR_UViG_2558860367_000001|2558860367|2558885814|1318-12637_4,unknown,77.0
IMGVR_UViG_2558860367_000001|2558860367|2558885814|1318-12637,Pseudomonas aeruginosa,temperate,IMG_VR,prodigal,IMGVR_UViG_2558860367_000001|2558860367|2558885814|1318-12637_10,unknown,154.0
